Year,U.S. Exports to Portugal of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Dominican Republic of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Sweden of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Venezuela of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Ireland of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Nigeria of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Thailand of Crude Oil and Petroleum Products Mbbl,U.S. Exports to South Korea of Crude Oil and Petroleum Products Mbbl,U.S. Exports to China of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Germany of Crude Oil and Petroleum Products Mbbl,U.S. Exports to South Africa of Crude Oil and Petroleum Products Mbbl,U.S. Exports to United Kingdom of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Ecuador of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Netherlands of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Japan of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Argentina of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Vietnam of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Turkey of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Senegal of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Malaysia of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Saudi Arabia of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Brazil of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Egypt of Crude Oil and Petroleum Products Mbbl,U.S. Exports to France of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Greece of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Panama of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Singapore of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Indonesia of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Gibraltar of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Canada of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Denmark of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Peru of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Lebanon of Crude Oil and Petroleum Products Mbbl,U.S. Exports to El Salvador of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Australia of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Uruguay of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Mexico of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Italy of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Guatemala of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Morocco of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Chile of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Spain of Crude Oil and Petroleum Products Mbbl,U.S. Exports to United Arab Emirates of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Norway of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Taiwan of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Kenya of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Belgium of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Colombia of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Finland of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Honduras of Crude Oil and Petroleum Products Mbbl,U.S. Exports to India of Crude Oil and Petroleum Products Mbbl,U.S. Exports to Israel of Crude Oil and Petroleum Products Mbbl
2020,13840,30679,20919,89,16379,7179,28730,164902,261609,39271,10885,127943,36130,166800,190068,9190,8284,25210,2389,6921,2910,160127,5508,52427,5686,54245,60995,44497,11526,341039,12695,43247,5099,11729,19700,7233,381328,60204,33921,18833,66899,45191,10977,15118,65550,2090,18568,36336,4391,21438,172437,8640
2019,6660,44842,9874,3323,17621,5825,40401,211526,71503,10426,5748,122482,44527,164484,202496,17804,4939,19747,367,4285,892,172974,9087,53267,7829,58670,46010,25291,14530,377951,14721,48392,6323,14331,25621,5958,422565,54809,39755,26293,66366,46260,18140,22817,77833,432,14541,49610,1186,25853,168006,8447
2018,6506,33983,4126,45121,6284,4372,16314,139276,136632,1908,6256,99334,42201,123041,170128,22034,120,31988,1909,9126,1481,145856,9241,35162,6678,40185,67643,15034,15249,373588,7339,43349,8315,13477,7940,2228,435961,49105,36444,18166,68096,29416,15787,23287,58568,3,15907,44197,342,23558,108532,4729
2017,3545,27792,1544,23314,873,3392,6346,64099,163193,3151,3580,67907,37685,91760,127593,24320,926,24937,666,12397,1030,144244,8647,40147,4595,41000,76764,7009,14425,317930,3068,41197,7683,11582,8287,6442,394402,26236,42080,18817,56791,24891,3534,13666,7866,0,12155,42305,1079,20239,72954,4504
2016,3691,28034,2097,27601,1580,3447,1866,39385,74160,1752,3256,33786,39512,96835,91581,22023,208,23685,640,4054,1537,95320,9579,39566,3967,40699,53700,942,22205,342236,2132,34781,7234,11647,5251,1189,322243,16086,32105,13061,56584,27326,6451,10054,2262,192,12679,54546,2062,18211,51279,4617
2015,3520,23951,1077,26709,1026,10472,481,23621,69864,3380,2340,32362,44898,82651,60622,23231,1206,23081,760,3184,1044,68505,9713,40322,5712,56201,44478,814,20395,348703,1957,28928,6766,8153,3150,462,251843,17228,23226,12996,54321,22072,2762,2757,1866,346,18149,62841,1186,21062,28448,4583
2014,3076,17615,860,27706,1156,18688,109,16889,32570,2348,2344,19341,35918,88118,54682,22407,66,24124,0,237,1224,79235,11642,41590,4221,64429,45413,144,16393,295365,1463,22119,5894,7080,5163,1669,203855,13140,17127,14673,53205,14691,3062,2831,4946,2,11915,50830,794,20574,25532,5467
2013,1165,15989,132,29636,745,16213,476,4885,46995,3013,1194,13070,30576,100013,42843,18027,52,22431,325,1267,934,65186,4353,38222,3318,52530,49690,260,21654,200271,1362,23350,3435,4903,3391,1552,194025,11062,13558,12217,52005,10795,5492,3731,3005,1,16511,42353,514,16482,15004,5645
2012,1412,15297,488,31110,1300,8160,686,5992,31175,4877,1104,15162,23058,87339,32581,19097,34,19591,436,282,519,60680,1467,28444,3902,46267,42258,557,32442,152312,985,18085,2099,3044,3748,276,206762,10844,16800,8934,54189,16676,1461,3073,3671,21,7142,27448,1393,16474,13352,5334
2011,1492,14103,49,11532,442,5569,352,5397,26756,7159,2465,12608,21424,90695,28846,14632,41,21131,268,1935,636,57231,2008,18139,3289,37255,44092,194,20858,128274,1529,12653,9844,6102,4022,612,207870,14634,18546,11516,46090,21276,5043,1906,619,31,11117,22639,2282,15881,6139,5362
2010,2209,12142,1096,7345,400,6016,112,4721,18894,7451,2026,7036,27990,60131,32263,6951,40,10801,1190,1734,124,45058,4096,13317,2896,31217,46819,53,15794,85163,1623,10746,7876,3488,3561,226,163439,13542,11086,9437,27386,13034,1494,1045,238,0,6963,23568,709,13894,3675,5176
2009,2553,10795,844,9533,881,3995,884,8467,15954,2224,1734,12118,17168,70256,21237,6600,30,11958,867,139,536,19989,5883,12528,3034,24156,42116,338,20482,81271,145,5892,3422,2975,4689,267,117454,12863,12502,5801,28583,14586,3363,727,776,1,10414,13243,931,9254,11096,4009
2008,2557,6719,1540,9746,1880,2327,324,6745,4875,5051,2079,6306,6964,47836,19649,6431,29,10194,1,47,253,19924,768,9831,3507,18878,28299,278,19241,96527,1125,9500,3879,2771,3618,247,121835,15051,8660,4392,30410,19944,440,1589,2264,1,6625,7230,12,8529,3572,6050
