Year,U.S. Imports from India of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Colombia of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Turkey of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Angola of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Trinidad and Tobago of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Belgium of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Canada of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Kuwait of Crude Oil and Petroleum Products Mbbl,U.S. Imports from France of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Nigeria of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Norway of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Saudi Arabia of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Netherlands of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Libya of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Japan of Crude Oil and Petroleum Products Mbbl,U.S. Imports from United Kingdom of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Ecuador of Crude Oil and Petroleum Products Mbbl,U.S. Imports from United Arab Emirates of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Indonesia of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Italy of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Algeria of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Ghana of Crude Oil and Petroleum Products Mbbl,U.S. Imports from South Korea of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Iraq of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Venezuela of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Singapore of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Brazil of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Spain of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Egypt of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Mexico of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Russia of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Kazakhstan of Crude Oil and Petroleum Products Mbbl,U.S. Imports from Argentina of Crude Oil and Petroleum Products Mbbl
2021,36331,74185,14442,13088,14452,14663,1584269,12076,11159,45699,26184,156875,46117,33107,7318,37862,61303,14480,1371,17568,14425,18756,48886,57277,,11801,52229,10752,11846,259496,245194,11937,13836
2020,28967,103865,5477,11329,14155,12151,1509646,10261,7784,27525,10585,190929,30156,3118,8084,31214,67899,7037,2419,10549,5507,9325,44572,64456,,9131,45933,11031,11119,274757,197720,9095,15671
2019,37643,136260,6995,14021,17271,26330,1617636,16583,11445,70569,33034,193556,41311,23092,13583,53371,74612,9784,1900,10030,28500,9520,48663,124284,33666,9537,70366,18490,20066,237390,189786,15762,16587
2018,27113,121525,4889,34330,9807,25266,1566500,28715,13597,69086,34426,328736,22811,20516,7536,53171,64597,21312,15526,8762,64422,4323,34264,190108,213895,9367,62400,19780,13309,262613,137010,12961,11462
2017,29960,132088,3075,49108,12642,21166,1479874,52838,13258,122068,28780,348621,22801,23741,9523,40624,75627,12352,14429,6110,68867,5998,38468,220499,245980,7133,81696,17855,3359,249060,142011,3853,10597
2016,32756,176811,799,61492,10416,22472,1383506,76687,13843,86173,27841,404925,21893,5828,7943,44586,87565,4956,15964,6509,66544,473,39306,155122,291461,6810,60977,18042,4625,244895,161286,5278,16798
2015,31241,144193,459,49767,8087,28940,1374189,74568,12589,29456,22141,386505,20814,2565,6508,44828,84176,1305,14866,4925,39478,81,37258,83726,301989,6911,78384,23002,694,276595,135247,5416,13681
2014,33235,115940,789,56343,9430,22446,1236459,113620,10493,33650,16559,425769,30978,2352,5270,42564,78413,4912,9007,5665,40193,,21845,134642,288127,4252,58464,17786,,307276,120345,6234,13227
2013,29196,142158,1429,78672,11757,21078,1146702,119608,14913,102611,19729,484934,32442,21407,6182,53829,86278,1212,8648,4924,42014,993,24504,124403,294259,5304,55277,12120,1553,335313,168024,7092,9068
2012,14668,158586,1397,85335,24625,19553,1078412,111586,12858,161558,27598,499595,36251,22281,3263,54484,65913,1217,2650,9796,88487,313,21479,174080,351220,709,82880,15737,11456,378692,174612,5072,9584
